城市名,运营商名,3位数号段,7位数号段
武汉,中国移动,134,1347701
武汉,中国移动,134,1341959
武汉,中国移动,134,1340711
武汉,中国移动,134,1344071
武汉,中国移动,134,1347623
武汉,中国移动,134,1340717
武汉,中国移动,134,1346998
武汉,中国移动,134,1340710
武汉,中国移动,134,1343715
武汉,中国移动,134,1341961
武汉,中国移动,134,1341966
武汉,中国移动,134,1342986
武汉,中国移动,134,1342987
武汉,中国移动,134,1347683
武汉,中国移动,134,1347627
武汉,中国移动,134,1343729
武汉,中国移动,134,1340715
武汉,中国移动,134,1342985
武汉,中国移动,134,1347709
武汉,中国移动,134,1348707
武汉,中国移动,134,1347626
武汉,中国移动,134,1347706
武汉,中国移动,134,1344079
武汉,中国移动,134,1346997
武汉,中国移动,134,1343716
武汉,中国移动,134,1347620
武汉,中国移动,134,1347702
武汉,中国移动,134,1347616
武汉,中国移动,134,1347610
武汉,中国移动,134,1347617
武汉,中国移动,134,1347618
武汉,中国移动,134,1340716
武汉,中国移动,134,1341958
武汉,中国移动,134,1341952
武汉,中国移动,134,1347625
武汉,中国移动,134,1347608
武汉,中国移动,134,1343725
武汉,中国移动,134,1347686
武汉,中国移动,134,1347602
武汉,中国移动,134,1347611
武汉,中国移动,134,1343712
武汉,中国移动,134,1341968
武汉,中国移动,134,1348709
武汉,中国移动,134,1343713
武汉,中国移动,134,1347681
武汉,中国移动,134,1340712
武汉,中国移动,134,1347621
武汉,中国移动,134,1343711
武汉,中国移动,134,1347614
武汉,中国移动,134,1347704
武汉,中国移动,134,1347707
武汉,中国移动,134,1343727
武汉,中国移动,134,1341953
武汉,中国移动,134,1341951
武汉,中国移动,134,1347612
武汉,中国移动,134,1347628
武汉,中国移动,134,1347685
武汉,中国移动,134,1341954
武汉,中国移动,134,1341962
武汉,中国移动,134,1347603
武汉,中国移动,134,1347604
武汉,中国移动,134,1346996
武汉,中国移动,134,1347680
武汉,中国移动,134,1343710
武汉,中国移动,134,1340714
武汉,中国移动,134,1341965
武汉,中国移动,134,1342983
武汉,中国移动,134,1340713
武汉,中国移动,134,1343728
武汉,中国移动,134,1347679
武汉,中国移动,134,1348708
武汉,中国移动,134,1346995
武汉,中国移动,134,1347615
武汉,中国移动,134,1347708
武汉,中国移动,134,1341967
武汉,中国移动,134,1347600
武汉,中国移动,134,1341960
武汉,中国移动,134,1341964
武汉,中国移动,134,1347607
武汉,中国移动,134,1347705
武汉,中国移动,134,1347613
武汉,中国移动,134,1347684
武汉,中国移动,134,1343714
武汉,中国移动,134,1347682
武汉,中国移动,134,1342982
武汉,中国移动,134,1341955
武汉,中国移动,134,1347605
武汉,中国移动,134,1342981
武汉,中国移动,134,1341956
武汉,中国移动,134,1347700
武汉,中国移动,134,1341957
武汉,中国移动,134,1341963
武汉,中国移动,134,1342988
武汉,中国移动,134,1347601
武汉,中国移动,134,1340718
武汉,中国移动,134,1347629
武汉,中国移动,134,1347622
武汉,中国移动,134,1341969
武汉,中国移动,134,1343717
武汉,中国移动,134,1342984
武汉,中国移动,134,1340719
武汉,中国移动,134,1347609
武汉,中国移动,134,1342989
武汉,中国移动,134,1347606
武汉,中国移动,134,1347619
武汉,中国移动,134,1343718
武汉,中国移动,134,1347703
武汉,中国移动,134,1343719
武汉,中国移动,134,1341950
武汉,中国移动,134,1343726
武汉,中国移动,134,1347624
武汉,中国移动,134,1346999
武汉,中国移动,134,1342980
武汉,中国移动,135,1354500
武汉,中国移动,135,1354588
武汉,中国移动,135,1355440
武汉,中国移动,135,1354506
武汉,中国移动,135,1351722
武汉,中国移动,135,1355469
武汉,中国移动,135,1354521
武汉,中国移动,135,1351711
武汉,中国移动,135,1354507
武汉,中国移动,135,1355421
武汉,中国移动,135,1351724
武汉,中国移动,135,1350715
武汉,中国移动,135,1351710
武汉,中国移动,135,1355411
武汉,中国移动,135,1350719
