城市名,运营商名,3位数号段,7位数号段
武汉,中国移动,134,1340711
武汉,中国移动,134,1343716
武汉,中国移动,134,1347703
武汉,中国移动,134,1347701
武汉,中国移动,134,1347709
武汉,中国移动,134,1347681
武汉,中国移动,134,1347627
武汉,中国移动,134,1341969
武汉,中国移动,134,1346995
武汉,中国移动,134,1340713
武汉,中国移动,134,1341963
武汉,中国移动,134,1347628
武汉,中国移动,134,1341951
武汉,中国移动,134,1341960
武汉,中国移动,134,1341966
武汉,中国移动,134,1341958
武汉,中国移动,134,1347614
武汉,中国移动,134,1342980
武汉,中国移动,134,1347621
武汉,中国移动,134,1343727
武汉,中国移动,134,1343715
武汉,中国移动,134,1340716
武汉,中国移动,134,1347704
武汉,中国移动,134,1340717
武汉,中国移动,134,1343729
武汉,中国移动,134,1347605
武汉,中国移动,134,1347600
武汉,中国移动,134,1346997
武汉,中国移动,134,1340710
武汉,中国移动,134,1348707
武汉,中国移动,134,1340719
武汉,中国移动,134,1347685
武汉,中国移动,134,1343710
武汉,中国移动,134,1340718
武汉,中国移动,134,1341953
武汉,中国移动,134,1347700
武汉,中国移动,134,1341955
武汉,中国移动,134,1343725
武汉,中国移动,134,1347625
武汉,中国移动,134,1343713
武汉,中国移动,134,1341954
武汉,中国移动,134,1347683
武汉,中国移动,134,1347622
武汉,中国移动,134,1347679
武汉,中国移动,134,1347601
武汉,中国移动,134,1341967
武汉,中国移动,134,1347606
武汉,中国移动,134,1341959
武汉,中国移动,134,1342982
武汉,中国移动,134,1346998
武汉,中国移动,134,1347619
武汉,中国移动,134,1347708
武汉,中国移动,134,1346996
武汉,中国移动,134,1342984
武汉,中国移动,134,1347686
武汉,中国移动,134,1341964
武汉,中国移动,134,1343714
武汉,中国移动,134,1343717
武汉,中国移动,134,1347617
武汉,中国移动,134,1340712
武汉,中国移动,134,1347706
武汉,中国移动,134,1347705
武汉,中国移动,134,1344079
武汉,中国移动,134,1347702
武汉,中国移动,134,1341965
武汉,中国移动,134,1347615
武汉,中国移动,134,1347684
武汉,中国移动,134,1341950
武汉,中国移动,134,1342983
武汉,中国移动,134,1342988
武汉,中国移动,134,1341956
武汉,中国移动,134,1347608
武汉,中国移动,134,1347626
武汉,中国移动,134,1347607
武汉,中国移动,134,1347616
武汉,中国移动,134,1343719
武汉,中国移动,134,1341961
武汉,中国移动,134,1341962
武汉,中国移动,134,1347613
武汉,中国移动,134,1347603
武汉,中国移动,134,1346999
武汉,中国移动,134,1340714
武汉,中国移动,134,1342986
武汉,中国移动,134,1347623
武汉,中国移动,134,1347612
武汉,中国移动,134,1347682
武汉,中国移动,134,1341957
武汉,中国移动,134,1343712
武汉,中国移动,134,1348708
武汉,中国移动,134,1343711
武汉,中国移动,134,1347680
武汉,中国移动,134,1341952
武汉,中国移动,134,1347604
武汉,中国移动,134,1340715
武汉,中国移动,134,1347609
武汉,中国移动,134,1343728
武汉,中国移动,134,1347618
武汉,中国移动,134,1342987
武汉,中国移动,134,1347611
武汉,中国移动,134,1347602
武汉,中国移动,134,1342981
武汉,中国移动,134,1347624
武汉,中国移动,134,1348709
武汉,中国移动,134,1347629
武汉,中国移动,134,1347610
武汉,中国移动,134,1342985
武汉,中国移动,134,1343718
武汉,中国移动,134,1343726
武汉,中国移动,134,1347707
武汉,中国移动,134,1341968
武汉,中国移动,134,1347620
武汉,中国移动,134,1342989
武汉,中国移动,134,1344071
武汉,中国移动,135,1355408
武汉,中国移动,135,1354534
武汉,中国移动,135,1351719
武汉,中国移动,135,1355437
武汉,中国移动,135,1354506
武汉,中国移动,135,1354524
武汉,中国移动,135,1355429
武汉,中国移动,135,1355414
武汉,中国移动,135,1355420
武汉,中国移动,135,1354521
武汉,中国移动,135,1355403
武汉,中国移动,135,1354528
武汉,中国移动,135,1354535
武汉,中国移动,135,1354518
武汉,中国移动,135,1354516
武汉,中国移动,135,1354536
武汉,中国移动,135,1350716
武汉,中国移动,135,1351712
武汉,中国移动,135,1350715
武汉,中国移动,135,1354511
武汉,中国移动,135,1355452
武汉,中国移动,135,1355435
武汉,中国移动,135,1355464
武汉,中国移动,135,1354513
武汉,中国移动,135,1351724
武汉,中国移动,135,1355412
武汉,中国移动,135,1354539
武汉,中国移动,135,1354509
武汉,中国移动,135,1354503
武汉,中国移动,135,1354587
武汉,中国移动,135,1354519
武汉,中国移动,135,1354526
武汉,中国移动,135,1355411
武汉,中国移动,135,1351721
武汉,中国移动,135,1355446
武汉,中国移动,135,1355431
武汉,中国移动,135,1355419
武汉,中国移动,135,1355441
武汉,中国移动,135,1350714
武汉,中国移动,135,1351710
武汉,中国移动,135,1354500
武汉,中国移动,135,1355400
武汉,中国移动,135,1355447
武汉,中国移动,135,1355468
武汉,中国移动,135,1354501
武汉,中国移动,135,1355469
武汉,中国移动,135,1355465
武汉,中国移动,135,1354502
武汉,中国移动,135,1354527
武汉,中国移动,135,1354588
武汉,中国移动,135,1355434
武汉,中国移动,135,1355438
武汉,中国移动,135,1354507
武汉,中国移动,135,1355466
武汉,中国移动,135,1351726
武汉,中国移动,135,1355410
武汉,中国移动,135,1355440
武汉,中国移动,135,1351727
武汉,中国移动,135,1350713
武汉,中国移动,135,1355445
武汉,中国移动,135,1355463
武汉,中国移动,135,1354591
武汉,中国移动,135,1354590
武汉,中国移动,135,1351723
武汉,中国移动,135,1354504
武汉,中国移动,135,1354523
武汉,中国移动,135,1350710
武汉,中国移动,135,1355426
武汉,中国移动,135,1354586
武汉,中国移动,135,1355407
武汉,中国移动,135,1355406
武汉,中国移动,135,1355449
武汉,中国移动,135,1354505
武汉,中国移动,135,1350712
武汉,中国移动,135,1355418
武汉,中国移动,135,1355413
武汉,中国移动,135,1355424
武汉,中国移动,135,1351722
武汉,中国移动,135,1351720
武汉,中国移动,135,1355451
武汉,中国移动,135,1354525
武汉,中国移动,135,1351729
武汉,中国移动,135,1354512
武汉,中国移动,135,1354589
武汉,中国移动,135,1355404
武汉,中国移动,135,1355425
武汉,中国移动,135,1355432
武汉,中国移动,135,1350711
武汉,中国移动,135,1355423
武汉,中国移动,135,1355442
武汉,中国移动,135,1355467
武汉,中国移动,135,1355421
武汉,中国移动,135,1351725
武汉,中国移动,135,1355433
武汉,中国移动,135,1355436
武汉,中国移动,135,1355402
武汉,中国移动,135,1355422
武汉,中国移动,135,1355427
武汉,中国移动,135,1354538
武汉,中国移动,135,1354517
武汉,中国移动,135,1351711
武汉,中国移动,135,1355453
武汉,中国移动,135,1354522
武汉,中国移动,135,1355405
武汉,中国移动,135,1354515
武汉,中国移动,135,1354510
武汉,中国移动,135,1355409
武汉,中国移动,135,1355443
武汉,中国移动,135,1351728
武汉,中国移动,135,1350719
武汉,中国移动,135,1354537
武汉,中国移动,135,1354514
武汉,中国移动,135,1354520
武汉,中国移动,135,1355417
武汉,中国移动,135,1355454
武汉,中国移动,135,1355430
武汉,中国移动,135,1355401
武汉,中国移动,135,1354529
武汉,中国移动,135,1355416
武汉,中国移动,135,1355444
武汉,中国移动,135,1350718
武汉,中国移动,135,1354508
武汉,中国移动,135,1355448
武汉,中国移动,135,1355450
武汉,中国移动,135,1355428
武汉,中国移动,135,1355439
武汉,中国移动,135,1355415
武汉,中国移动,135,1355462
武汉,中国移动,135,1350717
武汉,中国移动,136,1365987
武汉,中国移动,136,1366728
武汉,中国移动,136,1363869
武汉,中国移动,136,1369735
武汉,中国移动,136,1362723
武汉,中国移动,136,1363868
武汉,中国移动,136,1362722
武汉,中国移动,136,1365725
武汉,中国移动,136,1362866
武汉,中国移动,136,1362727
武汉,中国移动,136,1362726
武汉,中国移动,136,1366724
武汉,中国移动,136,1362711
武汉,中国移动,136,1362729
武汉,中国移动,136,1363860
武汉,中国移动,136,1365720
武汉,中国移动,136,1365723
武汉,中国移动,136,1366725
武汉,中国移动,136,1361865
武汉,中国移动,136,1364721
武汉,中国移动,136,1362860
武汉,中国移动,136,1362862
武汉,中国移动,136,1362721
武汉,中国移动,136,1369733
武汉,中国移动,136,1361863
武汉,中国移动,136,1362725
武汉,中国移动,136,1365983
武汉,中国移动,136,1360717
武汉,中国移动,136,1365728
武汉,中国移动,136,1365986
武汉,中国移动,136,1366713
武汉,中国移动,136,1366717
武汉,中国移动,136,1362712
武汉,中国移动,136,1366718
武汉,中国移动,136,1363866
武汉,中国移动,136,1362861
